Metal,MSD,Lindemann,PMF,Radius_Mismatch,OSSE,Is_Pareto,S_MSD,S_Lind,S_PMF,S_Rad,S_OSSE,Dist,Rank
Nb,38.53439712524414,0.17965397238731384,-14.41697883605957,0.0,0.0,True,0.5814234347185699,0.11720114711239848,0.7551106709916202,1.0,0.0,1.4193346818578905,32
Tm,49.866790771484375,0.15917587280273438,-16.008800506591797,0.16000000000000003,0.0,True,0.3548403704415295,0.24986960737405262,0.9720271141330339,0.7894736842105263,0.0,1.422684211459731,33
Ba,35.08746337890625,0.09784561395645142,-13.909521102905273,0.6300000000000001,0.0,True,0.6503423970301463,0.6472009600700865,0.6859597550579086,0.17105263157894712,0.0,1.4256586607409119,34
Ce,54.08919143676758,0.1295383870601654,-14.422837257385254,0.29000000000000004,0.0,True,0.2704165045566115,0.44187763933294677,0.7559089940323955,0.6184210526315789,0.0,1.4314243111562086,35
Pm,55.90068054199219,0.1319274604320526,-15.014860153198242,0.25,0.0,True,0.2341970821486682,0.4263999000832036,0.8365835464620628,0.6710526315789473,0.0,1.4319156721302497,36
Sm,56.823081970214844,0.1301763653755188,-14.9810791015625,0.24,0.0,True,0.21575432869123368,0.4377444627933622,0.831980225812488,0.6842105263157894,0.0,1.4349655739054632,37
Nd,55.90068054199219,0.1319274604320526,-15.014860153198242,0.26,0.0,False,0.2341970821486682,0.4263999000832036,0.8365835464620628,0.6578947368421053,0.0,1.434995516362829,38
Pr,55.90068054199219,0.1319274604320526,-15.014860153198242,0.27,0.0,False,0.2341970821486682,0.4263999000832036,0.8365835464620628,0.644736842105263,0.0,1.4381891503757183,39
La,54.08919143676758,0.1295383870601654,-14.422837257385254,0.31000000000000005,0.0,False,0.2704165045566115,0.44187763933294677,0.7559089940323955,0.5921052631578947,0.0,1.438662984106328,40
Er,53.34877014160156,0.15746767818927765,-15.94446849822998,0.17000000000000004,0.0,True,0.2852206960762337,0.26093623727584336,0.9632606356434406,0.7763157894736842,0.0,1.45207062693997,41
Mg,36.70377731323242,0.04338916018605232,-8.875667572021484,0.0,0.0,True,0.6180253618559572,1.0,0.0,1.0,0.0,1.4648906526376881,42
Yb,48.627201080322266,0.17589238286018372,-16.21407699584961,0.15000000000000002,0.0,True,0.3796250751947857,0.14157080547056522,1.0,0.8026315789473684,0.0,1.4699387820505787,43
Ca,53.87562561035156,0.13950413465499878,-13.572998046875,0.28,0.0,False,0.2746865997266864,0.3773140120636257,0.6401019898945792,0.631578947368421,0.0,1.4761700504644906,44
